,text,label,rating,username,round,id,win,score
1800,"Now, first I'd like to discuss the bill put forward by Quebec. At first, this might seem like an infringement of religious liberties. However, I'd like to try and explore the world in a world in which government employees are allowed to wear religious symbols. Now, this is not always going to be a bad thing, however, it's possible that if in your neighborhood all the police wear crosses, or if all the teachers in your school are ascribed with specific religion as you can tell just by the symbols that they wear, then this will inherently denigrate your religion and make you feel uncomfortable, as you will be made part of the minority. It was put forward that oh, people will see that they can coexist when you see each other symbols, however, when one symbol massively overtakes all the others, it starts to suggest that there's a dominant cultural force which cannot or should not be rejected. This has incredible negative impacts on minorities as they are not able to integrate into a community as well when there's something so clearly defining them as the other.",constructive1,4.0,adamursenbach,round5,adamursenbach_round5,0.0,68.0
1801,"By taking away these symbols, it is possible that in these kinds of communities where this kind of problem may exist, it will lead to greater liberty overall. This is because liberty is a fluid thing because by allowing some people to express their religious liberty, it can, if when those people hold power decrease the ability of others to express their religious liberty. And so the important thing here, I will take [POIs 00:03:09] later, is that we have to understand that this is a very nuanced situation.",constructive2,3.0,adamursenbach,round5,adamursenbach_round5,0.0,68.0
1802,"It is one in which there is no definite idea of which is supporting religious liberty and which is not, as the government would have you believe. It is instead something where multiple perspectives can be had and where we just really have to emphasize that there is no exactly necessarily one true position. So that is why the idea of having a drastic solution of this sort to say ""Cut off all funding to this province,"" would just be just an over reach. It is, in a way, stopping the ability of a community to deal with issues that made exist within itself because again, not every sub national entity is going to have the same problems. In some places, it might be helpful to be able to have everyone or government officials display their religious symbols. That could be good in some places, and to take that away from the sub national entities that need that would be just as bad.",constructive3,4.0,adamursenbach,round5,adamursenbach_round5,0.0,68.0
1543,"think the parents are probably going to be telling their children on our side of the house? We think they're probably going to tell them. You deserve as fair an opportunity as anybody else as any other child. No matter what you look like, no matter the pronouns that you use, no matter the religious belief that you have or your sexual orientation. We think that they will tell them you can achieve anything that you set your mind to or other. You should be able to achieve anything that you set your mind to and you have the right to a dignified life and things, and if society tells you that this is not true, if society tells you that you are not good enough because of your identity, that this is fundamentally wrong and you should value yourself as a human because the internalization of the alternative narrative is inherently harmful. We think that the right to a dignified life. You're right, because in order to function as a human being, the first thing you need to do is recognize that you have self-worth as a person, right? If you don't identity, if you don't recognize that you yourself have value, there's no way for you to find value in the actions that you carry up. There's no way for you to find meaning out of the life that you lead. You need to care about who you are. We think that the only way we think that in order, if you tell kids that no matter what you do, you're not going to be successful. This is a problem. We think...what does it, what do we think this probably looks like? We think this looks like, the parents of black girls telling them that you are just as beautiful as white girls despite what society might tell you despite the like mass media narrative of confirmation of Eurocentric beauty standards. You can do what you want in life. You should be able to do what you want in life. So if things set you back, if people tell you that you can't be, you can't be this thing, it's not because you are any less of a person. It's because social standards and power structures prevent you from achieving that thing. ",constructive1,3.0,adijk,round6,adijk_round6,0.0,73.0
1544,"have to internalize these narratives and use it to base your self-worth as you grow older because what your parents tell you in terms of how... really shapes how you think about the world later on. I mean it's the foundation of your belief system. It's the foundation of like the moral and practical calculus that you use to evaluate the world as a whole. We think that if you are able to recognize in the future that there were children able to recognize in the future that the reasons that marginalized children are not able to get further in the world when they grow up is not because they themselves are like worse people or they weren't special enough that they weren't good enough. It's because society has constructed like structures and barriers to oppress these people to ensure that they can never be as special, as successful, as good as like the majority trillion. Right? No, we think, what do we think this leads to? We think this probably needs to children who are probably more confident when they grow up, right We think it's probably these are children who are more capable of recognizing oppression when it is carried out against them. If you are a minority worker in an office and like your boss refuses to give you credit for contributing to our presentation when you probably contributed just as much as your white coworkers, you're probably more likely to be able to call that out as like as not been given someone credit as the racism or the sexism that it actually is. Right? When like girl children in school are held to a higher standard than boy children in school. They're like, ""the boys are going to be boys, are going to be mischievous, but you girls should account for that. We think the girls who are there are probably more likely to say [crosstalk 00:06:01] We think they're more likely to be able to say that like this isn't normal. This is a structural thing that we need to be able to change. We think it probably leads to kids feeling better about who they are as individuals as they grow up because they refuse to buy into this idea that they just aren't good enough.  ",constructive2,3.0,adijk,round6,adijk_round6,0.0,73.0
1545,"But second, I want to talk to you about the education system. We think that under the education system, your value is tied to numbers, right? We think your value is tied to like a certain degree of like bureaucracy and you decided on your SAT score, your test scores, all of these things. We think this helps countervail that narrative, right? Because the scores that you have in all of these things are often a function of your privilege because if you happen to be a rich white kid, your parents were probably able to hire tutors or things like that to help you. So this just helps push the societal narrative that this is somewhat standardized.Therefore, if you do badly at it, if you're a worse person or if not as useful to society, we think this helps push back against that narrative. It emphasizes the narrative. Then you are inherently good because who you are as a person and your net worth is not tied to your test scores. We think, wow, we're filling a gap. We're giving minority kids what white kids have been getting their entire life. We're telling them that they're special because they are human. We're telling them they're special, regardless of their identity.

",constructive3,2.0,adijk,round6,adijk_round6,0.0,73.0
53,"But even on top of that. Like I just told you in my intro, it's more than just Merry Christmas and those are what Diego says extrapolate into being more and more important microaggressions that become even worse to the point where you now have double standards in terms of whether you give people a job or not. In any case, what we say is broadly speaking in the places we're talking about. This will be outweighed by the more religious and ethnic aggressions that could become more and more violent in even places like India.",constructive1,,agupta21,round5,agupta21_round5,0.0,75.0
54,"The second thing that we tell you, more importantly, is we're dealing with these non-legally codified violations. That's the analysis that Diego gave you in the second minute of his speech as well as what I just sort of gave to you on closing opposition's first extension.",constructive2,,agupta21,round5,agupta21_round5,0.0,75.0
55,"And then third, what Diego tells you towards the end of his speech, what happens when the courts break down? We're still able to cut the funding and we can still process this accordingly.",constructive3,,agupta21,round5,agupta21_round5,0.0,75.0
793,"Now going on to some of our points, it does exacerbate the divide. Having not having these taxes does exacerbate the divide between the rich and poor, because of the lack of property available for the middle class in suburbs. What they'll continue to do is continue to stay in these cities, they'll continue to pay these high rents, and they will stop other people who are in the cities from paying those rents.",constructive1,,akumthekar,round1,akumthekar_round1,0.0,73.0
794,"what we are talking about, the last point that will be expanded upon in the model is about having a more diverse city. We have less marginalization.",constructive2,,akumthekar,round1,akumthekar_round1,0.0,73.0
404,"The second point that my partner brought up was about how it would impact the most amount of people. Everyone goes through childbirth. Everyone has to go through these initial years where they learn about language, where they learn about reading, where they learned about memory and cognitive abilities and all of these things.",constructive1,,akumthekar,round2,akumthekar_round2,0.0,72.0
405,"All of these things are present and everyone has to go through them. Post-secondary education, less than 20% even in the developing world, around 30% of the people take part in post-secondary education so investing there just does not have as much impact as it should. Secondly, bringing up to another point that I want to make, how do you set up your base?",constructive1,,akumthekar,round2,akumthekar_round2,0.0,72.0
406,"In developing countries you have a very bad base in that in most developing countries such as India or China, you have very high illiteracy rates. People don't even know how to read there. People don't know how to write properly and so this this is very damaging. I'm not taking a point. This is very damaging to those people who really want to learn further.",constructive1,,akumthekar,round2,akumthekar_round2,0.0,72.0
407,"But there's no point at that at an age of 18 or 19 for these people for us to devote funding to post-secondary education because they haven't even learned the basic abilities that are needed to before then and have lost that chance. Why is this important now? What are the impacts? The impacts are, for example, see even if they're not agriculture economy, they want to take out loans for them.",constructive2,,akumthekar,round2,akumthekar_round2,0.0,72.0
408,"They can't read. They don't understand how to do this. This can have very large developmental effects in the future. In India, you go, you see farmers. They're being exploited by banks and loan sharks. These are problems that need to be solved and that can only be solved if pre-primary education is focused upon",constructive2,,akumthekar,round2,akumthekar_round2,0.0,72.0
409,"Rigid skills and technical skills that are taught in college and in post-secondary education otherwise can be learned very, very easily than they used to be. In fact, what is more important even in developed countries is soft skills, is skills like memory, skills like critical thinking that are needed in the growing and evolving job market today.",constructive2,,akumthekar,round2,akumthekar_round2,0.0,72.0
410,"Today the focus isn't about going into or learning more about hard code or learning more facts. It's more about how you think about them, how you apply them, and those abilities are learned in the early stages. Again, to recap, what we talked about was how it is important to have a high brain development and how it is important to focus on primary education because of brain development.",constructive2,,akumthekar,round2,akumthekar_round2,0.0,72.0
1222,"experiences happened, but, and people thought this. But in a way one objective truth against an existing truth that is not real and that someone is just standing up to try and fight the legal debate. We can have, we have fact checking. We can do research. We can see who is actually right. And so it allows claim... it allows things like the trade war to be debunked and say this is wrong, this is a bad policy. It allows the Romaine campaign to say ""This is good."" And this is what is changing public opinion in both the US and in Britain to now oppose both of these things. To be considered in those movements, exceeded in the beginning over time, objectivity is actually winning out in this battle against the power majorities. And, we also, at one point, on our ballots, in a time closing government, this idea about empathizing with xenophobes. I think it's a really misleading argument, because if we empathize with xenophobes, what you feel is okay, what you feel is right, what they feel is a hatred and fear of outsiders. That is not okay, that is not all right. What, instead, we want to do is show them the objective facts and the reasons behind why they shouldn't be afraid of outsiders, because in fact, immigration is really beneficial. Diversity is really beneficial, its really helpful for the economy. These are the ways that we show people why their views are not going to help them, and why we should actually make a much better society by trading discourse. Subjective experiences, I'm also going to, it must've been weaponized by power majorities, because subjective and the emotion, always plays better in the media. Power majorities have much, much better access to media apparatus due to their status in society. So they're always going to be able to weaponize these narratives in a better way. Power minorities can use the simple power of truth to equalize the scales, because smaller NGO's and groups like Politifact can actually check those narratives, can show that... Not everyone's going to buy into this stuff, and everyone's going to see that over time the march of truth is and always check back against these narratives that power majorities propagate through the media.",constructive1,,alexnielsen,round3,alexnielsen_round3,0.0,74.0
1223,"Additionally, political polarization is the only alternative to this, because when we are weighing experience against experience, there is no equalizer, there is never a way to resolve the argument. So it actually falls out of the realm because they failed to ignore each other powerless objectives that they described can be just weaponized and abused by power majorities and how power minorities can actually take advantage of the facts to win, over time, as I've explained to you, changing public opinion and death of the trade war.",constructive2,,alexnielsen,round3,alexnielsen_round3,0.0,74.0
1224,"So we have to look into the past, we cannot factor webends over time. Look into the greatest time scale of this realm, that match is eligible[ to have many, many bigot impacts than anybody else. And then explains the objective power dom of the enlightened  Created the social philosophy that allowed us to get away from the xenophobia and tenantism  that are actually inherent to human nature. Humans are naturally coded to resist speech of those who are not like them, very suspicious and distrustful toward those who seem different. It's only through changing our political mindset and developing new clinical philosophy based on an objective standard of human dignity, that was the same to everybody. Everyone human dignity, this is how we are able to break out of this harmful cycle of disparitism and xenophobia to check back against religious autocracy, check back against the notion of the divine right, that repressed minorities and that repressed common people in society. These ideas of the past got us here today, even if you believe there is some harm to effective discourse, in the present, we're telling that the world government prefers we're without this really, really strong objective narrative that checks back against human nature and check back against xenophobia. Truly this narrative, without that, we would never have gotten to where we are today. They tell you Abolitionism. The question is why'd the Abolitionists start carrying and start making pamphlets? Even if you believe the turning point for Abolitionism was this emotional response, the only reason this emotional response was ever activated in the first place was because of a change in the human minds of the intelligence  in general, by this entire revolution of believing in political dignity. We show you how this mechanism occurred, and how the world changed for the better over time and how people's views change in society.",constructive3,,alexnielsen,round3,alexnielsen_round3,0.0,74.0
1440,"want them to. They aren't going to comprehend these things that opening Well, where are these things you're important to? We just think that the moment at which your child ask whether or not they're special, is not the moment to have this conversation. Instead,, we think you tell that kid, ""Yes. They are special. Yes. They can do anything."", and perhaps then, with their great boost they had, rather than idling around and doing nothing with their lives, using their privilege to help nobody, they use that belief they are special and that power and that aging and do something. They will actually step out from the shadow of their privileged parents. They'll actually do something important with their lives. So I think it's actually uniquely rewarded in the case of privileged children, if you do tell them they are special. Because if you don't tell them they're special then why would they ever try to do anything with everything just handed to them on a silver platter. We tell you that telling children that they have a unique, intrinsic sense of worth allows them to break out of that mentality that come up from being in a privileged household. Secondly, we tell you that all this business about children shouldn't understand the truth of it... I think what they really make is the first dichotomy here because you can tell a child they're special and then not spoil them with gifts and then you can not... You can make sure they do choirs around the house even though you could easily afford for them not to do that. The fact is, there are many ways that you can teach your kids to work harder and still them they're special. Those things are not mutually exclusive and I think in our world telling a kid they're special but also have them do some chores around the house... Those things are very plausible and kids understand your encouragement and have them do things. This is a clear pathway for privileged children to both, believe they're special and not have the mental view that they should do something of worth with their lives and use their privilege for good and at the same time, they don't have an inflated sense of their own worth.  ",constructive1,5.0,alexnielsen,round6,alexnielsen_round6,0.0,73.0
1441," Secondly, I want to talk about under privileged children and how telling them they're special is also a very good idea. Recognize, in their situations, I've already gone into it already to some extent, there is a very real risk that children just become desolate. They're going to feel like from a very young age they don't have the same advantages as others. This is already a huge structure in their lives because they can see everyone around them doesn't have the same advantages as they do. Parents have an obligation to check back against that by building up the internal self-esteem and self-worth of that child at a really early age. So then, eventually, they do find out that the world isn't quite as good as they believe. They have the resilience to withstand and keep working hard anyway. If you look at people who have fought really hard against oppression in the past, Martin Luther King, Nelson Mandela. Those people did face inhuman dignity to not give up. Mandela spent 27 years in prison and he would never have had the backbone to do that if he had not believed he had the power to stand up for himself because he was special he worked ha",constructive2,3.0,alexnielsen,round6,alexnielsen_round6,0.0,73.0
790,What we see happening from this motion is that you're going to decrease competition in the property market. Small companies are going to leave and then big property big companies are going to come up and snatch up all this property that is now apparently free and is going and the state doesn't automatically own this property. Large companies are going to own it and then corner the market on renting and that all of these harms are just going to get passed onto the renter and all the taxes that they are now paying are just going to get passed onto the rent of the people who are now renting these properties.,constructive1,,alexsteele32,round1,alexsteele32_round1,0.0,71.0
791,"She said that small rental companies are going to lose, they're going to not be able to afford to pay these taxes for their land. Either do that or raise their rent and then you're lowering the competition of the rental market. You are not encouraging any more people of low socioeconomic status to own houses in this model.",constructive2,,alexsteele32,round1,alexsteele32_round1,0.0,71.0
792,"So we think that in the status quo when you have small companies that exist, you have more competition. You have personal ownership where people pay to own houses and pay mortgages and that money is more effective than renting, than rent money. Which once you pay rent money, it's gone but if you're paying money towards mortgage, eventually you have a property that you own and is important capital. And we think that that model under the status quo is more important than any model that the gov gives you [crosstalk 00:04:48] at any... No thanks. So we think that under our side of the house we're able to prevent companies from cornering the renting market, which we think is just going to happen on your side of the house.",constructive3,,alexsteele32,round1,alexsteele32_round1,0.0,71.0
1466," So onto rebuilding of Mefreger's points. So the reality of an individualist society and where we live, and what it means to teach a child they are special within a society. So we live in a world where individual ideas and successes are the most rewarded, and thus the narrative that your child is special will help them in developing skills and ideas that are rewarded in our society. So if you tell your child that their abilities are inherently special and better than other people around them, then that means that they have an edge where they understand that they are deserving of this success. They will seek out that success and they will seek to improve those abilities to a point where they become the most special, because they believe that they are. And we think that on an individual level, this leads to the belief that you are deserving of success and thus will seek it out. When we teach children to look out for number one in a society which only, no, the only person you can look out for in our world is yourself, then we're setting them up for success and we're setting them up to be successful in a world where this is the only important thing where your personal successes and your personal rewards come from your hard work and your faults. So we tell you this, why is this important? So why do we want to teach children that they are special within this world? And why do we see that as being more important than something that may bring up saying that they just have value. So what we see when we tell children that they are special is that they have an idea of what they have to offer society that they can then apply in their lives, and that they can gain successes from. So this becomes very important. ",constructive1,4.0,alexsteele32,round6,alexsteele32_round6,0.0,69.0
1467,"And the main point I want to talk about today is the impact on women and young girls, which I think Naya characterized very well and which was untouched by OO. So, no thank you. So when parents treat their daughters like they're special and to achieve great things, then you're equipping young women with the knowledge that they have inherent value, which unfortunately under the status quo doesn't happen. We don't teach young women on a standard level that they have inherent special qualities that are different and better than the people around them. So what happens on our side of the house when you teach young girls that they have qualities that are special, that are different, that are important, is you get women more inclined to want to take on leadership positions. When you tell a young girl that she's special and thus deserving of the success of a leadership position, then she's going to want to achieve that better, she's going to want to take on that position. When we tell girls that they're special we empower them to become leaders, and why is this point so important on our side? So what we see under the status quo is, when we don't think of individuality when it comes to what children are taught, as they're socialized, when they grow up, when we don't have a standard level of teaching each child that they're special as they grow up, we don't get the same benefits when we see young women as leaders and necessary. And on the impact of young girls who are systemically undervalued in our current society when it comes to socialization as children, that if they were to receive indications from their parents that they have inherent special and unique qualities that are valuable to society, they could potentially seek out leadership positions from a younger age.  ",constructive2,4.0,alexsteele32,round6,alexsteele32_round6,0.0,69.0
1392,"Now let's talk to you about why it is difficult to convince people to go to post secondary education institutions and why this actually creates a fundamental problem before that What you're missing out on is the early childhood education systems that we're talking about, aren't simply things like babysitting or watching or taking care of your child. They're systems that actually push for the cognitive development of these children from three to five. [crosstalk 00:04:48]. But the problem is that four year olds... Look, I know this sounds like a really glib response, but if you read the literature, four year olds are really dumb. You're teaching them how to read and write... You're teaching them how to read and write... This is the... The differences scale off once you get to fifth grade, when you actually look at the marginal benefit these kids get, this is the tracking thing that because they aren't able to actually read... Because you... Because it's very, very difficult if you are a precocious fifth grader. You can't really jump ahead in to eighth grade or whatever, but it is very possible when you are a college student for you actually... Able to take advantage of the fact that you are smarter than the rest of your peers and go to a college institution and let's start publishing papers and things like this. We're not saying that there's no benefit whatsoever to pre-K. We are saying that there's a marginal difference between the benefit that you get at pre-K versus the benefit that you get at post secondary education institutions. It's first off because the replicability of this, this is what I'm saying, that it is very easy for poor communities, just like offer babysitting together... Services and pull together the resources. And the second part is there.. What I'm saying about the tracking stuff. ",constructive1,4.0,alexvs,round2,alexvs_round2,0.0,76.0
1202,"Secondly, we talked about how racist people and people who are basically pursuing other agendas, are more likely to get validated and more likely to get attention. We feel instead this already happens, right? Racist people already get validated and already have their narratives listen to. We feel in the event that that continues to happen, in both cases, we'd rather have the minority groups being able to use these platforms to also get their narratives across to people. Whether or not these are being validated in the state it's going, we feel they have a right to have a platform to get these across. Right? And Maya talked to you about, why specifically having this kind of platform is so important. Right? Because you have these integration of these ideas into public debate, which means a larger number of people are actually being able to access them. It's not a racist going on a rant somewhere, but it's somebody being able to actually counter what that racist is saying on national television as a result to which he's probably able to change these millions of people.",constructive1,,amaanianam,round3,amaanianam_round3,0.0,76.0
1203,"Secondly, I will talk to you about research, right? About how probably you don't need this kind of research because I'm likely to be able be persuasive to people who have any experience. We're not really talking to you about having extreme research in these areas. We are going to argue for about the fact that you're supposed to have different kinds of research. Right? We're talking to you about the fact that the kind of things these minorities experienced aren't things that can be statistically reported for a variety of reasons that Maya pointed out that we're really able to understand. Because of the fact that researchers more often than not don't really have an incentive into researching these things or that these people don't feel comfortable wasting all these things. As a result of which we don't really have enough statistics. We feel we want these emotional experiences, replacing that kind of subjective research that exists in large quantities for white people, researching white people, we want these minorities to be able to voice their emotional experiences, and that kind of research to be able to enter the political sphere so that you have better policy making. Something else we've talked about, right? And here's what we feel like they completely feelknowledge, right? Our entire idea about how this lead to long term and better policy making. It's about the fact that because these ideas are in your political sphere, the politician that are probably being elected are not only potentially being elected because they specifically care about these issues and constituents vote for them, on the basis of this, as a result of which there's better policy making. Because they themselves are more aware of these issues and are able to legislate better on them. I.e. A woman who has maybe had an abortion and is able to personally relate to that and better legislate on it. But on a second level, there's probably likely to be more knowledge of these issues. So even if that political representative doesn't come into government, we have at least have enough knowledge probably care more about that issue. Or people talk more about that issue as a result of which they have an incentive to better lay on the basis of that issue. Right?",constructive2,,amaanianam,round3,amaanianam_round3,0.0,76.0
1204,"wanting for these contestants on the basis of that. But on a second level, because you generally have more knowledge and more awareness of these issues that you weren't able to access through statistical evidence because those statistics don't exist, now all because we have these discourses entering your political spectrum, you have normally more of a framework to build upon these issues and legislate get on them. But you have more of an incentive to build upon these issues and legislate about them because you know their constituents hear about them because people have been talking about them. They're integrated into bids and through a big deal. And frankly, if get elected and you don't do anything about it, you're a dick. Right? But let's talk to you about what Maya stand by. She talking about how this is uniquely very, very important because these issues are not only going to entry public sphere, as a result of which better legislation. Which are actually going to have more action, more social groups and action groups actually these issues. Right. We see this already happening with things like big tobacco or things the people are talking about or things that matter in your political spectrum. Right? You feel you're going to have a larger number of, for instance, why women becoming aware of these issues versus why women channeling and funding more charities for women who've been sexually abused and in certain neighborhoods. Which they wouldn't otherwise even having knowledge of because of the fact that they live in a bubble that is not infiltrated by these discourses to begin with. We feel like this funding will normally create more awareness for these specific groups in your study, but it's also going to lead more people talking about them as a whole. Which in the long run is going to lead to these issues becoming more and more important. You already see this happening. Right? For instance, like women coming up and talking about how they are sexual assault survivors. We feel that if these narratives had been normalized where you're on through channels such as public debate and political discourse, we feel it you'd be at a stage where people could be talking about more of these things more so and more earlier on.",constructive3,,amaanianam,round3,amaanianam_round3,0.0,76.0
